guideline,item,category,requirement,pre_run_status,pre_run_evidence,post_run_status,post_run_evidence,notes
MI-CLEAR-LLM 2025 update,MC-11,4 Adaptation strategy,Describe corpus snapshot and drug bridge,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; outputs/study_phase2/manifest/environment_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Update after technical run and clinical rating import. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
MI-CLEAR-LLM 2025 update,MC-12,4 Adaptation strategy,Describe eligibility and exclusion policy,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; outputs/study_phase2/manifest/environment_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Update after technical run and clinical rating import. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
MI-CLEAR-LLM 2025 update,MC-13,5 Prompt optimization,Describe prompt development on development data only,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; outputs/study_phase2/manifest/environment_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Update after technical run and clinical rating import. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
MI-CLEAR-LLM 2025 update,MC-14,5 Prompt optimization,Report full prompts and hashes,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; outputs/study_phase2/manifest/environment_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Update after technical run and clinical rating import. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
MI-CLEAR-LLM 2025 update,MC-15,5 Prompt optimization,Separate common task from arm-specific source policy,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; outputs/study_phase2/manifest/environment_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Update after technical run and clinical rating import. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
MI-CLEAR-LLM 2025 update,MC-16,6 Prompt execution,"Report output schema, token limit and tool-call limit",implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; outputs/study_phase2/manifest/environment_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Update after technical run and clinical rating import. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
MI-CLEAR-LLM 2025 update,MC-17,6 Prompt execution,"Report service tier, concurrency, retries and streaming",implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; outputs/study_phase2/manifest/environment_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Update after technical run and clinical rating import. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
MI-CLEAR-LLM 2025 update,MC-18,6 Prompt execution,Report all planned calls and failures,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; outputs/study_phase2/manifest/environment_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Update after technical run and clinical rating import. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
MI-CLEAR-LLM 2025 update,MC-19,7 Stochasticity management,Report sampling parameters and reasoning effort,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; outputs/study_phase2/manifest/environment_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Update after technical run and clinical rating import. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
MI-CLEAR-LLM 2025 update,MC-20,7 Stochasticity management,Use repeated independent runs,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; outputs/study_phase2/manifest/environment_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Update after technical run and clinical rating import. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
MI-CLEAR-LLM 2025 update,MC-21,7 Stochasticity management,Report randomization seed and reproducibility analyses,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; outputs/study_phase2/manifest/environment_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Update after technical run and clinical rating import. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
MI-CLEAR-LLM 2025 update,MC-22,8 Test-data independence,Keep Phase-1 development questions out of the main set,implemented_or_prespecified,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; outputs/study_phase2/manifest/environment_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Update after technical run and clinical rating import. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
MI-CLEAR-LLM 2025 update,MC-23,8 Test-data independence,Require independent human question/gold freeze,implemented_with_study_owner_approval_limitation,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; outputs/study_phase2/manifest/environment_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Update after technical run and clinical rating import. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
MI-CLEAR-LLM 2025 update,MC-24,8 Test-data independence,Blind primary clinical ratings and adjudicate,implemented_with_study_owner_approval_limitation,docs/STUDY_PROTOCOL_RAG_VS_WEB.md; outputs/study_phase2/manifest/environment_manifest.json,technical_complete_clinical_rating_pending,outputs/study_phase2/results/study_results.jsonl; outputs/study_phase2/reports/technical_completion_report.json; outputs/study_phase2/excel/AISurgeon_RAG_vs_WEB_study_master.xlsx,Update after technical run and clinical rating import. Pre-freeze amendment PD-001: the unchanged synthetic question/gold draft was approved by the study owner only; no independent clinical question-set review occurred. Independent blinded answer ratings remain mandatory.
