schema_version,question_id,question_text,split,label_origin,category,routing_mode,expected_item_numbers,expected_evidence_ids,expected_pdf_pages_1based,expected_no_evidence,notes
vte-synthetic-development-1.0.0,vte-dev-011,Wann soll eine medikamentöse VTE-Prophylaxe beginnen und woran soll sich ihre Dauer orientieren?,development,synthetic_draft_source_derived,multi_evidence_timing_duration,guideline_first,"[""10.1"", ""10.3""]","[""ru-c57df85fdc1cb85e6e255fe2"", ""ru-04f6da035fe497f436ed1c4f""]","[60, 62]",False,Beginn und Dauer stehen in zwei Items.
vte-synthetic-development-1.0.0,vte-dev-012,Wie lange soll die medikamentöse VTE-Prophylaxe nach Hüftgelenkendoprothetik erfolgen?,development,synthetic_draft_source_derived,dose_duration,guideline_first,"[""12.17""]","[""ru-48900ad13805cc0801720478""]",[86],False,Dauer 28–35 Tage.
vte-synthetic-development-1.0.0,vte-dev-013,Welche Prophylaxedauer gilt nach Kniegelenksersatz?,development,synthetic_draft_source_derived,dose_duration,guideline_first,"[""12.22""]","[""ru-1e45de30003f9c69fe1aa135""]",[92],False,Dauer 10–14 Tage.
vte-synthetic-development-1.0.0,vte-dev-014,Soll nach einer Arthroskopie ohne zusätzliche VTE-Risikofaktoren eine medikamentöse Prophylaxe erfolgen?,development,synthetic_draft_source_derived,negation,guideline_first,"[""12.32""]","[""ru-48b394e00c3ae2291a2f443b""]",[96],False,Negierte Empfehlung bei fehlenden Zusatzrisiken.
vte-synthetic-development-1.0.0,vte-dev-015,Wann soll bei Polytrauma eine medikamentöse VTE-Prophylaxe begonnen werden?,development,synthetic_draft_source_derived,timing_polytrauma,guideline_first,"[""12.40""]","[""ru-f53e5979042bf781b05cff9d""]",[104],False,Beginn so früh wie möglich nach Kontrolle der Blutung.
vte-synthetic-development-1.0.0,vte-dev-016,Soll bei onkologischen Patienten in der Finalphase grundsätzlich eine VTE-Prophylaxe durchgeführt werden?,development,synthetic_draft_source_derived,negation_palliative,guideline_first,"[""13.5""]","[""ru-f92c378d7fc914b49fac5cfd""]",[116],False,Keine Prophylaxe ohne symptomorientierte Indikation.
vte-synthetic-development-1.0.0,vte-dev-017,Wie lange sollen Frauen mit vorausgegangener VTE nach der Geburt eine medikamentöse Prophylaxe erhalten?,development,synthetic_draft_source_derived,population_interval,guideline_first,"[""15.5""]","[""ru-3d392513fa74d61a606c643f""]",[138],False,Postpartal mindestens sechs Wochen.
vte-synthetic-development-1.0.0,vte-dev-018,Welche Antibiotikadosis behandelt eine ambulant erworbene Pneumonie?,development,synthetic_draft_source_derived,no_evidence_treatment,guideline_first,[],[],[],True,Out of scope: Antibiotikatherapie ist nicht im Snapshot validiert.
vte-synthetic-development-1.0.0,vte-dev-019,Welche Impfung verhindert Masern?,development,synthetic_draft_source_derived,no_evidence_prevention,guideline_first,[],[],[],True,Out of scope: Impfprävention ist nicht im Snapshot validiert.
vte-synthetic-development-1.0.0,vte-dev-020,Welche Insulindosis soll bei diabetischer Ketoazidose infundiert werden?,development,synthetic_draft_source_derived,no_evidence_unrelated_dose,guideline_first,[],[],[],True,Out of scope: Insulintherapie ist nicht im Snapshot validiert.
